COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"TURKEY","SAKARYA","SAKARYA DEVLET HASTANE","ISR02412","2.1",10/25/2019 1:21:06 PM,"NO","NO","YES"
"CHINA","???","??????","ISR52066","2.1",10/25/2019 9:23:07 AM,"NO","NO","YES"
"VIETNAM","HOCHIMINH","Cho Ray Hospital","ISR55742","1.2",10/25/2019 8:26:29 AM,"NO","NO","YES"
"VIETNAM","HCMC","Tropical Disease Hospi","ISR54603","1.1",10/25/2019 9:45:53 AM,"NO","NO","YES"
"CHINA","???","????????","ISR54665","1.1",10/25/2019 9:18:13 AM,"NO","NO","YES"
"SPAIN","MAÓ","HOSPITAL DR. MATEU ORF","ISR04208","2.1",10/25/2019 12:09:22 PM,"NO","NO","YES"
"CHINA","???","?????????? ?????","ISR52544","2.1",10/25/2019 9:53:08 AM,"NO","NO","YES"
"ARGENTINA","BAHAI BLANCA","HTAL DR JOSE  PENNA","ISR62240","1.1",10/25/2019 10:01:41 AM,"NO","NO","YES"
"INDIA","MUMBAI","TATA MERMORIAL HOSPITA","ISR60330","1.3",10/25/2019 6:59:27 AM,"YES","NO","NO"
"AUSTRALIA","NOUMEA, NEW CALEDONIA","MEDI SERVICES SARL","ISR50762","2.1",10/25/2019 10:29:00 AM,"NO","NO","YES"
"SOUTH KOREA","null","??????","ISR05564","2.1",10/25/2019 12:56:27 AM,"NO","NO","YES"
"POLAND","RUDA SLASKA","KORLAB LABORATORIA MED","ISR50001","1.1",10/25/2019 12:14:09 PM,"NO","NO","YES"
"CANADA","MISSISSAUGA","LIFELABS MEDICAL LAB -","ISR60018","1.1",10/25/2019 12:10:02 AM,"NO","NO","YES"
"TURKEY","IZMIR","IZMIR IL SAGLIK MUDURL","ISR08462","2.1",10/25/2019 12:16:07 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR62967","1.1",10/25/2019 9:29:47 AM,"NO","NO","YES"
"ARGENTINA","MARTINEZ","EXSA S.R.L.","I1SR56697","1.3",10/25/2019 11:21:15 AM,"NO","NO","YES"
"CHINA","??","??????????","ISR55611","2.1",10/25/2019 9:50:02 AM,"NO","NO","YES"
"CHINA","??","?????????????(???)","I1SR53000","1.3",10/25/2019 9:58:03 AM,"NO","NO","YES"
"INDIA","ERNAKULAM","HITECH DIAGNOSTIC CENT","I1SR61549","1.3",10/25/2019 2:06:49 PM,"NO","NO","YES"
"CHINA","???","??????????????","ISR52142","2.1",10/25/2019 9:44:20 AM,"NO","NO","YES"
"RUSSIA","Sankt-Peterburg, Petergof","SPB GBUZ NIKOLAEVSKAYA","ISR61190","2.3",10/25/2019 9:16:27 AM,"YES","NO","YES"
"TURKEY","ORDU","MEDICAL PARK ORDU","ISR06096","1.1",10/25/2019 10:48:00 AM,"NO","NO","YES"
"JAPAN","???","????LSI??????????????","ISR02999","1.2",10/25/2019 12:22:53 PM,"NO","YES","NO"
"ITALY","ROMA","Ospedale S. Eugenio - ","ISR62644","1.3",10/25/2019 1:13:12 PM,"NO","NO","YES"
"CHINA","???","??????????","ISR53281","2.1",10/25/2019 9:49:42 AM,"NO","NO","YES"
"CHINA","???","???????????","ISR55401","1.1",10/25/2019 9:51:18 AM,"NO","NO","YES"
"SPAIN","BARCELONA","LAB. ECHEVARNE ANALISI","I201681","2.1",10/25/2019 1:33:52 AM,"NO","NO","YES"
"CHINA","???","????????????","ISR50027","2.1",10/25/2019 8:50:24 AM,"NO","NO","YES"
