PL_SN_MAP_ID,IOM_SN,MESSAGE,PL,SN,UPLOAD_DATE
166,ABT105,Carrier Did Not Pass - Centrifuge Gate A,740,ABT105,08/05/2019
167,ABT106,Carrier Did Not Pass - Centrifuge Gate A,740,ABT10606,08/05/2019
168,ABT107,Carrier Did Not Pass - Centrifuge Gate A,740,ABT107,08/05/2019
169,ABT108,Carrier Did Not Pass - Centrifuge Gate A,740,ABT108,08/05/2019
170,ABT109,Carrier Did Not Pass - Centrifuge Gate A,740,ABT109,08/05/2019
171,ABT110,Carrier Did Not Pass - Centrifuge Gate A,740,ABT110,08/05/2019
172,ABT111,Carrier Did Not Pass - Centrifuge Gate A,740,ABT111,08/05/2019
173,ABT112,Carrier Did Not Pass - Centrifuge Gate A,740,ABT112,08/05/2019
174,ABT113,Carrier Did Not Pass - Centrifuge Gate A,740,ABT113,08/05/2019
175,ABT114,Carrier Did Not Pass - Centrifuge Gate A,740,ABT114,08/05/2019
176,ABT116,Carrier Did Not Pass - Centrifuge Gate A,740,ABT116,08/05/2019
177,ABT117,Carrier Did Not Pass - Centrifuge Gate A,740,ABT117,08/05/2019
178,ABT118,Carrier Did Not Pass - Centrifuge Gate A,740,ABT118,08/05/2019
179,ABT119,Carrier Did Not Pass - Centrifuge Gate A,740,ABT119,08/05/2019
180,ABT120,Carrier Did Not Pass - Centrifuge Gate A,740,ABT120,08/05/2019
181,ABT121,Carrier Did Not Pass - Centrifuge Gate A,740,ABT121,08/05/2019
182,ABT123,Carrier Did Not Pass - Centrifuge Gate A,740,ABT123,08/05/2019
183,ABT124,Carrier Did Not Pass - Centrifuge Gate A,740,ABT124,08/05/2019
184,ABT125,Carrier Did Not Pass - Centrifuge Gate A,740,ABT125,08/05/2019
185,ABT126,Carrier Did Not Pass - Centrifuge Gate A,740,ABT126,08/05/2019
186,ABT127,Carrier Did Not Pass - Centrifuge Gate A,740,ABT127,08/05/2019
187,ABT128,Carrier Did Not Pass - Centrifuge Gate A,740,ABT128,08/05/2019
188,ABT129,Carrier Did Not Pass - Centrifuge Gate A,740,ABT129,08/05/2019
189,ABT130,Carrier Did Not Pass - Centrifuge Gate A,740,ABT130,08/05/2019
190,ABT131,Carrier Did Not Pass - Centrifuge Gate A,740,ABT131,08/05/2019
191,ABT132,Carrier Did Not Pass - Centrifuge Gate A,740,ABT132,08/05/2019
192,ABT133,Carrier Did Not Pass - Centrifuge Gate A,740,ABT133,08/05/2019
193,ABT134,Carrier Did Not Pass - Centrifuge Gate A,740,ABT134,08/05/2019
194,ABT135,Carrier Did Not Pass - Centrifuge Gate A,740,ABT135,08/05/2019
195,ABT136,Carrier Did Not Pass - Centrifuge Gate A,740,ABT136,08/05/2019
196,ABT137,Carrier Did Not Pass - Centrifuge Gate A,740,ABT137,08/05/2019
197,ABT138,Carrier Did Not Pass - Centrifuge Gate A,740,ABT138,08/05/2019
198,ABT139,Carrier Did Not Pass - Centrifuge Gate A,740,ABT139,08/05/2019
199,ABT140,Carrier Did Not Pass - Centrifuge Gate A,740,ABT140,08/05/2019
200,ABT141,Carrier Did Not Pass - Centrifuge Gate A,740,ABT141,08/05/2019
201,ABT142,Carrier Did Not Pass - Centrifuge Gate A,740,ABT142,08/05/2019
202,ABT143,Carrier Did Not Pass - Centrifuge Gate A,740,ABT143,08/05/2019
203,ABT144,Carrier Did Not Pass - Centrifuge Gate A,740,ABT144,08/05/2019
204,ABT145,Carrier Did Not Pass - Centrifuge Gate A,740,ABT145,08/05/2019
205,ABT146,Carrier Did Not Pass - Centrifuge Gate A,740,ABT146,08/05/2019
206,ABT147,Carrier Did Not Pass - Centrifuge Gate A,740,ABT147,08/05/2019
207,ABT148,Carrier Did Not Pass - Centrifuge Gate A,740,ABT148,08/05/2019
208,ABT149,Carrier Did Not Pass - Centrifuge Gate A,740,ABT149,08/05/2019
209,ABT150,Carrier Did Not Pass - Centrifuge Gate A,740,ABT150,08/05/2019
210,ABT151,Carrier Did Not Pass - Centrifuge Gate A,740,ABT151,08/05/2019
211,ABT152,Carrier Did Not Pass - Centrifuge Gate A,740,ABT152,08/05/2019
212,ABT153,Carrier Did Not Pass - Centrifuge Gate A,740,ABT153,08/05/2019
213,ABT154,Carrier Did Not Pass - Centrifuge Gate A,740,ABT154,08/05/2019
214,ABT155,Carrier Did Not Pass - Centrifuge Gate A,740,ABT155,08/05/2019
215,ABT156,Carrier Did Not Pass - Centrifuge Gate A,740,ABT156,08/05/2019
216,ABT157,Carrier Did Not Pass - Centrifuge Gate A,740,ABT157,08/05/2019
217,ABT158,Carrier Did Not Pass - Centrifuge Gate A,740,ABT158,08/05/2019
218,ABT159,Carrier Did Not Pass - Centrifuge Gate A,740,ABT159,08/05/2019
219,ABT018,Carrier Did Not Pass - Decapper Divert Gate,740,ABT018,08/05/2019
220,ABT019,Carrier Did Not Pass - Decapper Divert Gate,740,ABT019,08/05/2019
221,ABT023,Carrier Did Not Pass - Decapper Divert Gate,740,ABT023,08/05/2019
222,ABT024,Carrier Did Not Pass - Decapper Divert Gate,740,ABT024,08/05/2019
223,ABT026,Carrier Did Not Pass - Decapper Divert Gate,740,ABT026,08/05/2019
224,ABT027,Carrier Did Not Pass - Decapper Divert Gate,740,ABT027,08/05/2019
225,ABT028,Carrier Did Not Pass - Decapper Divert Gate,740,ABT028,08/05/2019
226,ABT030,Carrier Did Not Pass - Decapper Divert Gate,740,ABT030,08/05/2019
227,ABT034,Carrier Did Not Pass - Decapper Divert Gate,740,ABT034,08/05/2019
228,ABT036,Carrier Did Not Pass - Decapper Divert Gate,740,ABT036,08/05/2019
229,ABT037,Carrier Did Not Pass - Decapper Divert Gate,740,ABT037,08/05/2019
230,ABT041,Carrier Did Not Pass - Decapper Divert Gate,740,ABT041,08/05/2019
231,ABT042,Carrier Did Not Pass - Decapper Divert Gate,740,ABT042,08/05/2019
232,ABT045,Carrier Did Not Pass - Decapper Divert Gate,740,ABT045,08/05/2019
233,ABT047,Carrier Did Not Pass - Decapper Divert Gate,740,ABT047,08/05/2019
234,ABT049,Carrier Did Not Pass - Decapper Divert Gate,740,ABT049,08/05/2019
235,ABT050,Carrier Did Not Pass - Decapper Divert Gate,740,ABT050,08/05/2019
236,ABT051,Carrier Did Not Pass - Decapper Divert Gate,740,ABT051,08/05/2019
237,ABT054,Carrier Did Not Pass - Decapper Divert Gate,740,ABT054,08/05/2019
238,ABT058,Carrier Did Not Pass - Decapper Divert Gate,740,ABT058,08/05/2019
239,ABT059,Carrier Did Not Pass - Decapper Divert Gate,740,ABT059,08/05/2019
240,ABT060,Carrier Did Not Pass - Decapper Divert Gate,740,ABT060,08/05/2019
241,ABT061,Carrier Did Not Pass - Decapper Divert Gate,740,ABT061,08/05/2019
242,ABT062,Carrier Did Not Pass - Decapper Divert Gate,740,ABT062,08/05/2019
243,ABT063,Carrier Did Not Pass - Decapper Divert Gate,740,ABT063,08/05/2019
