a3600_deviceid,a3600_iom_serial_uc,a3600_productline,a3600_serialnumber_uc,flag_date,a3600_nodetype,errorcode,a3600_nodeid,a3600_layoutinstance,tubestoday,max_compl_date,error_count,error_percentage
187724,ACP181,852,ACP181DEC01,2019-10-23 00:00:00,DCM,1006,4,1,714,2019-10-23 15:02:30,36,5.042016806722689
187724,ACP181,852,ACP181DEC01,2019-10-24 00:00:00,DCM,1006,4,1,350,2019-10-24 16:16:09,31,8.857142857142858
194532,ACP183,852,ACP183DEC01,2019-10-23 00:00:00,DCM,1006,04,1,556,2019-10-23 11:58:42,24,4.316546762589928
194532,ACP183,852,ACP183DEC01,2019-10-24 00:00:00,DCM,1006,04,1,502,2019-10-24 12:04:17,22,4.382470119521912
203469,ACP188,852,ACP188DEC01,2019-10-24 00:00:00,DCM,1006,16,1,305,2019-10-24 17:47:26,2,0.6557377049180327
203469,ACP188,852,ACP188DEC01,2019-10-24 00:00:00,DCM,1006,16,1,2,2019-10-24 17:47:26,2,100
208439,ACP193,852,ACP193DEC01,2019-10-24 00:00:00,DCM,1006,03,1,650,2019-10-24 11:58:46,4,0.6153846153846154
194557,ACP195,852,ACP195DEC01,2019-10-23 00:00:00,DCM,1006,03,1,770,2019-10-23 19:23:43,4,0.5194805194805194
194557,ACP195,852,ACP195DEC01,2019-10-24 00:00:00,DCM,1006,03,1,906,2019-10-24 00:00:02,1,0.11037527593818984
194283,ACP196,852,ACP196DEC03,2019-10-23 00:00:00,DCM,1006,28,3,9,2019-10-23 21:39:11,2,22.22222222222222
194283,ACP196,852,ACP196DEC03,2019-10-23 00:00:00,DCM,1006,28,3,2218,2019-10-23 21:39:11,2,0.09017132551848513
194283,ACP196,852,ACP196DEC03,2019-10-24 00:00:00,DCM,1006,28,3,89,2019-10-24 07:18:41,2,2.247191011235955
194283,ACP196,852,ACP196DEC03,2019-10-24 00:00:00,DCM,1006,28,3,1968,2019-10-24 07:18:41,2,0.1016260162601626
194283,ACP196,852,ACP196DEC04,2019-10-23 00:00:00,DCM,1006,29,4,9,2019-10-23 11:33:12,4,44.44444444444444
194283,ACP196,852,ACP196DEC04,2019-10-23 00:00:00,DCM,1006,29,4,2218,2019-10-23 11:33:12,4,0.18034265103697025
194283,ACP196,852,ACP196DEC04,2019-10-24 00:00:00,DCM,1006,29,4,88,2019-10-24 23:16:11,2,2.272727272727273
194283,ACP196,852,ACP196DEC04,2019-10-24 00:00:00,DCM,1006,29,4,1968,2019-10-24 23:16:11,2,0.1016260162601626
194283,ACP196,852,ACP196DEC06,2019-10-23 00:00:00,DCM,1006,32,6,9,2019-10-23 23:33:20,16,177.77777777777777
194283,ACP196,852,ACP196DEC06,2019-10-23 00:00:00,DCM,1006,32,6,2217,2019-10-23 23:33:20,16,0.7216959855660803
194283,ACP196,852,ACP196DEC06,2019-10-24 00:00:00,DCM,1006,32,6,1969,2019-10-24 22:42:08,14,0.7110208227526663
194283,ACP196,852,ACP196DEC06,2019-10-24 00:00:00,DCM,1006,32,6,89,2019-10-24 22:42:08,14,15.730337078651685
194283,ACP196,852,ACP196DEC07,2019-10-24 00:00:00,DCM,1006,33,7,89,2019-10-24 13:19:11,2,2.247191011235955
194283,ACP196,852,ACP196DEC07,2019-10-24 00:00:00,DCM,1006,33,7,1980,2019-10-24 13:19:11,2,0.10101010101010101
207042,ACP197,852,ACP197DEC01,2019-10-24 00:00:00,DCM,1006,03,1,1413,2019-10-24 10:17:52,2,0.14154281670205238
214106,ACP198,852,ACP198DEC01,2019-10-23 00:00:00,DCM,1006,03,1,192,2019-10-23 11:17:41,76,39.583333333333336
214106,ACP198,852,ACP198DEC01,2019-10-24 00:00:00,DCM,1006,03,1,193,2019-10-24 09:15:54,2,1.0362694300518134
193175,ACP200,852,ACP200DEC01,2019-10-23 00:00:00,DCM,1006,04,1,12,2019-10-23 17:49:16,18,150
193175,ACP200,852,ACP200DEC01,2019-10-23 00:00:00,DCM,1006,04,1,3912,2019-10-23 17:49:16,18,0.4601226993865031
193175,ACP200,852,ACP200DEC01,2019-10-24 00:00:00,DCM,1006,04,1,3406,2019-10-24 19:51:02,32,0.9395184967704052
194377,ACP201,852,ACP201DEC01,2019-10-23 00:00:00,DCM,1006,03,1,92,2019-10-23 10:12:52,114,123.91304347826087
194377,ACP201,852,ACP201DEC01,2019-10-24 00:00:00,DCM,1006,03,1,384,2019-10-24 14:12:03,279,72.65625
210840,ACP203,852,ACP203DEC01,2019-10-23 00:00:00,DCM,1006,03,1,613,2019-10-23 16:09:50,2,0.3262642740619902
210840,ACP203,852,ACP203DEC01,2019-10-24 00:00:00,DCM,1006,03,1,691,2019-10-24 19:06:11,16,2.3154848046309695
194862,ACP206,852,ACP206DEC01,2019-10-23 00:00:00,DCM,1006,03,1,138,2019-10-23 08:38:01,2,1.4492753623188406
194862,ACP206,852,ACP206DEC01,2019-10-24 00:00:00,DCM,1006,03,1,136,2019-10-24 13:07:38,6,4.411764705882353
