SQL Statement which produced this data:
  SELECT 
     ROWID, PHM_ALGORITHM_IHN_SK, PHM_ALGORITHM_DEFINITIONS_SK, PHM_PATTERNS_SK, 
     IHN_CODE, IHN_LEVEL_1_DESCRIPTION, APP_AUDITS_CREATE_USER, 
     APP_AUDITS_MODIFY_USER, IHN_LEVEL_2_DESCRIPTION, IHN_LEVEL_3_DESCRIPTION, 
     DELETE_FLAG, APP_AUDITS_CREATE_DATE, APP_AUDITS_MODIFY_DATE, 
     ISSUE_DESCRIPTION
  FROM SVC_PHM_OWNER.PHM_ALGORITHM_IHNS;

PHM_ALGORITHM_IHN_SK,PHM_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,IHN_CODE,IHN_LEVEL_1_DESCRIPTION,APP_AUDITS_CREATE_USER,APP_AUDITS_MODIFY_USER,IHN_LEVEL_2_DESCRIPTION,IHN_LEVEL_3_DESCRIPTION,DELETE_FLAG,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_DATE,ISSUE_DESCRIPTION
1231,20025,20025,"PHN_APA_3350_12",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:21.000000 PM","2/25/2019 8:44:25.000000 PM",
1232,20026,20026,"PHN_APA_3350_2",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:23.000000 PM","2/25/2019 8:29:04.000000 PM",
1233,20027,20027,"PHN_APA_3350_3",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:25.000000 PM","2/25/2019 8:29:40.000000 PM",
1234,20028,20028,"PHN_APA_3350_4",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:26.000000 PM","2/25/2019 8:34:56.000000 PM",
1235,20029,20029,"PHN_APA_3350_5",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:28.000000 PM","2/25/2019 8:36:27.000000 PM",
1236,20030,20030,"PHN_APA_3350_6",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:30.000000 PM","9/18/2019 9:02:58.000000 PM",
1237,20031,20031,"PHN_APA_3350_7",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:00:31.000000 PM","3/29/2018 2:00:31.000000 PM",
1238,20032,20032,"PHN_APA_3350_8",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:33.000000 PM","2/25/2019 8:33:21.000000 PM",
1239,20033,20033,"PHN_APA_3350_9",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:00:35.000000 PM","3/29/2018 2:00:35.000000 PM",
1240,20034,20034,"PHN_APA_3700_1",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:37.000000 PM","2/25/2019 8:54:16.000000 PM",
1241,20035,20035,"PHN_APA_3700_2",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:39.000000 PM","2/25/2019 8:49:25.000000 PM",
1242,20036,20036,"PHN_APA_3700_3",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:40.000000 PM","2/25/2019 8:55:59.000000 PM",
1243,20037,20037,"PHN_APA_3700_4",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:42.000000 PM","2/25/2019 8:57:11.000000 PM",
