Persons,2019-01-23T23:10:45.817832,192,2
Vehicles,2019-01-23T23:10:46.026792,187,5
Persons,2019-01-23T23:10:46.468283,193,2
Vehicles,2019-01-23T23:10:46.469915,188,4
Persons,2019-01-23T23:10:46.701601,194,2
Vehicles,2019-01-23T23:10:46.910894,189,4
Persons,2019-01-23T23:10:47.142598,195,3
Vehicles,2019-01-23T23:10:47.352957,190,3
Persons,2019-01-23T23:10:47.581643,196,3
Vehicles,2019-01-23T23:10:47.790817,191,4
Persons,2019-01-23T23:10:48.020432,197,4
Vehicles,2019-01-23T23:10:48.229104,192,4
Vehicles,2019-01-23T23:10:48.669034,193,4
Persons,2019-01-23T23:10:48.671569,198,4
Vehicles,2019-01-23T23:10:48.890280,194,5
Persons,2019-01-23T23:10:49.113564,199,4
Persons,2019-01-23T23:10:49.555443,200,2
Vehicles,2019-01-23T23:10:49.330969,195,5
Persons,2019-01-23T23:10:49.786807,201,2
Vehicles,2019-01-23T23:10:49.996503,196,6
Persons,2019-01-23T23:10:50.228814,202,2
Vehicles,2019-01-23T23:10:50.438296,197,6
Persons,2019-01-23T23:10:50.670850,203,2
Vehicles,2019-01-23T23:10:50.883374,198,6
Persons,2019-01-23T23:10:51.112147,204,1
Vehicles,2019-01-23T23:10:51.325633,199,6
Persons,2019-01-23T23:10:51.552842,205,2
Vehicles,2019-01-23T23:10:51.767612,200,6
Persons,2019-01-23T23:10:51.995061,206,1
Persons,2019-01-23T23:10:52.434327,207,1
Vehicles,2019-01-23T23:10:52.209935,201,6
Persons,2019-01-23T23:10:52.666939,208,1
Vehicles,2019-01-23T23:10:52.875522,202,6
Persons,2019-01-23T23:10:53.102787,209,1
Vehicles,2019-01-23T23:10:53.314194,203,6
Persons,2019-01-23T23:10:53.541538,210,1
Vehicles,2019-01-23T23:10:53.751675,204,6
Persons,2019-01-23T23:10:53.978714,211,1
Vehicles,2019-01-23T23:10:54.192052,205,5
Persons,2019-01-23T23:10:54.418034,212,1
Persons,2019-01-23T23:10:54.857145,213,1
Vehicles,2019-01-23T23:10:54.632243,206,5
Persons,2019-01-23T23:10:55.088960,214,1
Vehicles,2019-01-23T23:10:55.298329,207,6
Persons,2019-01-23T23:10:55.528909,215,1
Vehicles,2019-01-23T23:10:55.737829,208,6
Persons,2019-01-23T23:10:55.970236,216,1
Vehicles,2019-01-23T23:10:56.179804,209,6
Persons,2019-01-23T23:10:56.412510,217,1
Vehicles,2019-01-23T23:10:56.621855,210,6
Persons,2019-01-23T23:10:56.852214,218,1
Vehicles,2019-01-23T23:10:57.065457,211,6
Persons,2019-01-23T23:10:57.290598,219,1
Persons,2019-01-23T23:10:57.733080,220,1
Vehicles,2019-01-23T23:10:57.506955,212,6
Persons,2019-01-23T23:10:57.962992,221,1
Vehicles,2019-01-23T23:10:58.174201,213,6
Persons,2019-01-23T23:10:58.403006,222,0
Persons,2019-01-23T23:10:58.840611,223,0
Vehicles,2019-01-23T23:10:58.615967,214,6
Persons,2019-01-23T23:10:59.282561,224,0
Vehicles,2019-01-23T23:10:59.058478,215,6
Persons,2019-01-23T23:10:59.513136,225,0
Vehicles,2019-01-23T23:10:59.722074,216,6
Persons,2019-01-23T23:10:59.955582,226,0
Vehicles,2019-01-23T23:11:00.163710,217,6
Persons,2019-01-23T23:11:00.393103,227,0
Vehicles,2019-01-23T23:11:00.601086,218,6
Persons,2019-01-23T23:11:00.832803,228,0
Vehicles,2019-01-23T23:11:01.041918,219,6
Persons,2019-01-23T23:11:01.271570,229,0
Vehicles,2019-01-23T23:11:01.482009,220,6
Persons,2019-01-23T23:11:01.707356,230,0
Vehicles,2019-01-23T23:11:01.921344,221,6
Persons,2019-01-23T23:11:02.144959,231,0
Persons,2019-01-23T23:11:02.586721,232,0
Vehicles,2019-01-23T23:11:02.360089,222,7
Persons,2019-01-23T23:11:02.813844,233,0
Vehicles,2019-01-23T23:11:03.021609,223,7
Persons,2019-01-23T23:11:03.253621,234,0
Persons,2019-01-23T23:11:03.693348,235,0
Vehicles,2019-01-23T23:11:03.467913,224,7
Persons,2019-01-23T23:11:03.924766,236,0
Vehicles,2019-01-23T23:11:04.132844,225,7
Persons,2019-01-23T23:11:04.573681,237,0
Vehicles,2019-01-23T23:11:04.349107,226,7
Persons,2019-01-23T23:11:04.806830,238,0
Vehicles,2019-01-23T23:11:05.018943,227,7
Persons,2019-01-23T23:11:05.245629,239,0
Persons,2019-01-23T23:11:05.683613,240,0
Vehicles,2019-01-23T23:11:05.458415,228,7
Persons,2019-01-23T23:11:05.912241,241,0
Vehicles,2019-01-23T23:11:06.122570,229,7
Persons,2019-01-23T23:11:06.349341,242,0
Persons,2019-01-23T23:11:06.786605,243,0
Vehicles,2019-01-23T23:11:06.562240,230,6
Persons,2019-01-23T23:11:07.016484,244,0
Vehicles,2019-01-23T23:11:07.226715,231,6
Persons,2019-01-23T23:11:07.452113,245,0
Persons,2019-01-23T23:11:07.890517,246,0
Vehicles,2019-01-23T23:11:07.663824,232,6
Persons,2019-01-23T23:11:08.122565,247,0
Vehicles,2019-01-23T23:11:08.330233,233,6
Persons,2019-01-23T23:11:08.770598,248,0
Vehicles,2019-01-23T23:11:08.771735,234,5
Persons,2019-01-23T23:11:09.003405,249,0
Vehicles,2019-01-23T23:11:09.211775,235,5
Persons,2019-01-23T23:11:09.443214,250,0
Vehicles,2019-01-23T23:11:09.653529,236,5
Persons,2019-01-23T23:11:09.881028,251,0
Persons,2019-01-23T23:11:10.320090,252,0
Vehicles,2019-01-23T23:11:10.095500,237,5
Persons,2019-01-23T23:11:10.548300,253,0
Vehicles,2019-01-23T23:11:10.759331,238,5
Persons,2019-01-23T23:11:10.987635,254,0
Persons,2019-01-23T23:11:11.427147,255,0
Vehicles,2019-01-23T23:11:11.203726,239,5
Persons,2019-01-23T23:11:11.662917,256,0
Vehicles,2019-01-23T23:11:11.870376,240,5
Persons,2019-01-23T23:11:12.100306,257,0
Vehicles,2019-01-23T23:11:12.309229,241,5
Persons,2019-01-23T23:11:12.538166,258,0
Vehicles,2019-01-23T23:11:12.745845,242,5
Persons,2019-01-23T23:11:12.973902,259,0
Vehicles,2019-01-23T23:11:13.185396,243,5
Persons,2019-01-23T23:11:13.410283,260,0
Vehicles,2019-01-23T23:11:13.622058,244,6
Persons,2019-01-23T23:11:13.846429,261,0
Vehicles,2019-01-23T23:11:14.059485,245,5
Persons,2019-01-23T23:11:14.284741,262,0
Persons,2019-01-23T23:11:14.722088,263,0
Vehicles,2019-01-23T23:11:14.498495,246,6
Persons,2019-01-23T23:11:14.952935,264,0
Vehicles,2019-01-23T23:11:15.163021,247,6
Persons,2019-01-23T23:11:15.389735,265,0
Persons,2019-01-23T23:11:15.826499,266,0
Vehicles,2019-01-23T23:11:15.602214,248,6
Persons,2019-01-23T23:11:16.057745,267,0
Vehicles,2019-01-23T23:11:16.266765,249,6
Persons,2019-01-23T23:11:16.497071,268,0
Vehicles,2019-01-23T23:11:16.705742,250,6
Persons,2019-01-23T23:11:16.936634,269,0
Vehicles,2019-01-23T23:11:17.145237,251,6
Persons,2019-01-23T23:11:17.373922,270,0
Vehicles,2019-01-23T23:11:17.585857,252,6
Persons,2019-01-23T23:11:17.810915,271,0
Vehicles,2019-01-23T23:11:18.023847,253,6
Persons,2019-01-23T23:11:18.249922,272,0
Persons,2019-01-23T23:11:18.687990,273,1
Vehicles,2019-01-23T23:11:18.464581,254,6
Persons,2019-01-23T23:11:18.919753,274,1
Vehicles,2019-01-23T23:11:19.130737,255,6
Persons,2019-01-23T23:11:19.356791,275,1
Vehicles,2019-01-23T23:11:19.573030,256,6
Persons,2019-01-23T23:11:19.805435,276,2
Persons,2019-01-23T23:11:20.238770,277,2
