COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"CHINA","???","???????????","ISR62655","1.1",6/30/2019 9:25:50 AM,"NO","NO","YES"
"CHINA","??","????????","ISR54613","1.2",6/30/2019 12:19:39 PM,"YES","NO","NO"
"INDIA","CHENNAI, TAMILNADU","MADRAS MEDICAL MISSION","I1SR52535","1.1",6/30/2019 9:06:53 AM,"NO","NO","YES"
"JAPAN","???","??????·??·??","ISR54774","1.1",6/30/2019 10:42:03 AM,"NO","NO","YES"
"CHINA","??","??????????????","ISR62874","2.1",6/30/2019 4:06:42 AM,"NO","NO","YES"
"FRANCE","PARIS","CH LARIBOISIERE","ISR01152","1.3",6/30/2019 8:07:47 AM,"YES","NO","NO"
"INDIA","P.O.,CALICUT KERALA","MALABAR INST.OF MEDICA","ISR55414","2.1",6/30/2019 1:43:40 AM,"YES","NO","NO"
"POLAND","TARNOBRZEG","ALAB LABORATORIA SP. Z","I1SR50440","1.3",6/30/2019 2:14:16 PM,"YES","NO","NO"
"CHINA","???","???????","ISR52553","1.1",6/30/2019 9:10:38 AM,"NO","NO","YES"
"CHINA","??????","????????","ISR62794","2.1",6/30/2019 11:41:09 AM,"NO","NO","YES"
"ITALY","LECCO","Ospedale di Lecco - La","I201151","1.1",6/30/2019 7:51:14 AM,"NO","NO","YES"
"CHINA","???","???????","ISR52248","2.1",6/30/2019 11:45:43 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR54497","2.1",6/30/2019 11:32:39 AM,"NO","NO","YES"
"CHINA","?????","????????????","ISR52247","1.1",6/30/2019 9:15:49 AM,"NO","NO","YES"
"PHILIPPINES","Cebu","PNRC-CEBU CHAPTER","I1SR04009","1.1",6/30/2019 4:19:28 PM,"NO","NO","YES"
"CHINA","???/027","????????????????????","ISR52621","2.1",6/30/2019 9:35:16 AM,"NO","NO","YES"
"CHINA","???","???????","ISR61422","2.1",6/30/2019 11:42:40 AM,"NO","NO","YES"
"SOUTH KOREA","?????","(??) ??????","ISR51959","2.1",6/30/2019 3:05:40 AM,"NO","NO","YES"
"JAPAN","???","?????? ?????????????","ISR63338","2.1",6/30/2019 11:59:37 AM,"NO","NO","YES"
"CHINA","???","????????????","ISR51800","1.3",6/30/2019 9:45:48 AM,"YES","NO","YES"
"CHINA","???","???????","ISR53801","2.2",6/30/2019 10:53:53 AM,"NO","NO","YES"
"CHINA","???","?????????? (??????????","ISR51903","1.1",6/30/2019 9:16:11 AM,"NO","NO","YES"
"USA","ROSLYN","ST FRANCIS HOSPITAL","ISR53097","2.1",6/30/2019 4:39:05 PM,"YES","NO","NO"
"CHINA","??","??????????????","ISR55726","2.3",6/30/2019 10:52:36 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR50012","2.1",6/30/2019 10:49:12 AM,"NO","NO","YES"
"USA","WILLIAMSVILLE","KALEIDA HEALTH","ISR06866","1.3",6/30/2019 12:21:34 AM,"NO","YES","NO"
"CHINA","??","???????????? ?????????","ISR53987","1.3",6/30/2019 9:30:38 AM,"NO","NO","YES"
"TURKEY","ISTANBUL","MEDICAL PARK-BAHCELIEV","ISR07411","1.2",6/30/2019 12:52:37 AM,"NO","NO","YES"
"CHINA","???","??(??)??","ISR62110","1.1",6/30/2019 12:43:46 PM,"NO","NO","YES"
